shipment_id,date,origin_hub,destination_hub,carrier,delivery_days_actual,delivery_days_promised,distance_km,weight_kg,cost_usd,on_time_delivery,delay_reason,product_category,season,priority
SHP-00018,2024-04-20,Chicago,New_York,FastShip,8,6,1340,3.23,34.7,0,other,clothing,spring,standard
SHP-00019,2024-04-29,Philadelphia,Phoenix,LocalEx,2,1,578,5.18,32.71,0,capacity,clothing,spring,overnight
SHP-00020,2024-01-17,Dallas,Chicago,LocalEx,3,3,558,17.6,32.98,1,,industrial,winter,standard
SHP-00021,2024-04-11,San_Antonio,Houston,MegaFreight,2,3,777,16.21,25.34,1,,perishables,spring,standard
SHP-00022,2024-03-12,Los_Angeles,San_Antonio,FastShip,6,6,801,8.04,24.47,1,,perishables,spring,standard
SHP-00023,2024-02-02,Chicago,Philadelphia,FastShip,3,4,1078,11.75,40.25,1,,perishables,winter,standard
SHP-00024,2024-01-09,Chicago,San_Antonio,QuickPost,5,3,607,2.22,13.74,0,mechanical,clothing,winter,standard
SHP-00025,2024-05-15,Houston,Dallas,MegaFreight,7,5,947,13.43,30.13,0,mechanical,clothing,spring,standard
SHP-00026,2024-04-04,Houston,Chicago,LocalEx,3,3,504,11.68,20.56,1,,perishables,spring,standard
SHP-00027,2024-03-24,Houston,Los_Angeles,FastShip,3,4,704,50.47,33.52,1,,industrial,spring,standard
SHP-00028,2024-02-06,Houston,Los_Angeles,FastShip,2,2,955,37.27,80.75,1,,industrial,winter,express
SHP-00029,2024-02-20,Houston,Dallas,MegaFreight,4,5,832,38.1,53.05,1,,perishables,winter,standard
SHP-00030,2024-04-01,Chicago,Philadelphia,FastShip,5,6,2488,9.16,56.97,1,,electronics,spring,standard
SHP-00031,2024-05-04,New_York,Houston,FastShip,2,3,1722,20.75,158.55,1,,industrial,spring,express
SHP-00032,2024-02-09,Philadelphia,Houston,LocalEx,8,7,1642,7.77,45.07,0,other,electronics,winter,standard
SHP-00033,2024-01-13,Los_Angeles,San_Antonio,FastShip,3,3,725,13.0,41.72,1,,electronics,winter,standard
SHP-00034,2024-06-03,Philadelphia,Chicago,FastShip,1,2,914,89.46,59.43,1,,furniture,summer,express
SHP-00035,2024-05-09,Houston,San_Antonio,FastShip,2,2,906,26.77,99.71,1,,industrial,spring,express
SHP-00036,2024-02-03,Los_Angeles,New_York,QuickPost,6,6,1322,24.0,85.33,1,,industrial,winter,standard
SHP-00037,2024-05-16,Philadelphia,Dallas,FastShip,2,3,1678,30.68,60.59,1,,perishables,spring,standard
SHP-00038,2024-01-09,New_York,San_Antonio,FastShip,7,7,901,63.54,52.03,1,,industrial,winter,standard
SHP-00039,2024-02-01,Philadelphia,New_York,FastShip,7,7,1687,1.32,26.14,1,,electronics,winter,standard
SHP-00040,2024-06-23,Philadelphia,San_Antonio,LocalEx,3,3,1864,26.48,89.81,1,,furniture,summer,express
SHP-00041,2024-05-06,Phoenix,Philadelphia,QuickPost,1,2,1089,34.65,121.84,1,,industrial,spring,express
SHP-00042,2024-05-01,Chicago,Chicago,MegaFreight,1,2,1281,2.72,16.28,1,,clothing,spring,express
SHP-00043,2024-01-26,Houston,Chicago,FastShip,2,3,3535,30.75,73.36,1,,furniture,winter,standard
SHP-00044,2024-04-14,Houston,New_York,FastShip,7,7,900,5.03,44.74,1,,clothing,spring,standard
SHP-00045,2024-01-26,Houston,Los_Angeles,FastShip,5,6,2101,14.15,51.58,1,,electronics,winter,standard
SHP-00046,2024-06-13,Phoenix,Los_Angeles,MegaFreight,2,3,484,23.53,79.34,1,,electronics,summer,express
SHP-00047,2024-05-06,Houston,Chicago,FastShip,1,2,2021,7.33,66.03,1,,clothing,spring,express
SHP-00048,2024-02-06,Philadelphia,Houston,MegaFreight,7,2,1045,12.03,53.57,0,capacity,industrial,winter,express
SHP-00049,2024-06-13,Philadelphia,Phoenix,QuickPost,2,2,543,9.91,27.08,1,,electronics,summer,express
SHP-00050,2024-03-19,New_York,Chicago,MegaFreight,3,3,1070,4.2,15.87,1,,clothing,spring,standard
SHP-00051,2024-06-01,Dallas,Los_Angeles,QuickPost,6,6,1748,10.5,68.18,1,,industrial,summer,standard
SHP-00052,2024-01-18,New_York,Los_Angeles,MegaFreight,2,2,358,41.86,35.28,1,,industrial,winter,express
SHP-00053,2024-02-21,Phoenix,Chicago,QuickPost,7,3,2051,22.18,71.96,0,mechanical,perishables,winter,express
SHP-00054,2024-04-23,Phoenix,Houston,FastShip,7,5,1321,8.27,19.16,0,mechanical,electronics,spring,standard
SHP-00055,2024-05-12,Phoenix,Phoenix,FastShip,1,2,644,15.14,33.39,1,,clothing,spring,express
SHP-00056,2024-02-07,Los_Angeles,Houston,LocalEx,11,7,1322,21.91,50.52,0,weather,industrial,winter,standard
SHP-00057,2024-02-16,Philadelphia,Houston,FastShip,10,3,2614,21.38,78.11,0,weather,industrial,winter,express
SHP-00058,2024-01-23,New_York,Phoenix,FastShip,7,3,1063,5.77,30.37,0,weather,electronics,winter,express
SHP-00059,2024-02-21,Philadelphia,New_York,QuickPost,2,2,829,17.0,48.88,1,,electronics,winter,express
SHP-00060,2024-03-25,New_York,Chicago,FastShip,1,1,715,32.31,113.03,1,,industrial,spring,overnight
SHP-00061,2024-06-25,Los_Angeles,Phoenix,LocalEx,2,3,1524,9.54,46.57,1,,perishables,summer,express
SHP-00062,2024-01-08,Los_Angeles,Philadelphia,FastShip,2,1,435,15.61,37.32,0,mechanical,perishables,winter,overnight
SHP-00063,2024-05-14,New_York,Dallas,QuickPost,3,4,1671,14.79,35.59,1,,industrial,spring,standard
SHP-00064,2024-04-05,Houston,Dallas,QuickPost,3,3,936,6.04,25.03,1,,clothing,spring,standard
SHP-00065,2024-04-29,Dallas,Houston,LocalEx,6,7,1050,5.93,22.31,1,,electronics,spring,standard
SHP-00066,2024-06-13,Phoenix,Los_Angeles,LocalEx,3,3,1437,55.35,103.78,1,,industrial,summer,express
SHP-00067,2024-04-28,New_York,Chicago,MegaFreight,6,5,2772,4.57,39.35,0,other,electronics,spring,standard
SHP-00068,2024-01-20,New_York,Houston,FastShip,4,2,737,15.25,71.33,0,other,clothing,winter,express
SHP-00069,2024-05-24,Phoenix,San_Antonio,FastShip,6,3,1235,13.51,43.06,0,customs,electronics,spring,express
SHP-00070,2024-01-11,New_York,New_York,MegaFreight,2,2,434,27.21,67.17,1,,perishables,winter,express
SHP-00071,2024-05-23,Phoenix,Los_Angeles,QuickPost,1,2,1024,6.49,25.98,1,,clothing,spring,express
SHP-00072,2024-01-13,Los_Angeles,Dallas,LocalEx,7,7,1812,13.09,48.47,1,,perishables,winter,standard
SHP-00073,2024-02-08,Houston,Los_Angeles,MegaFreight,4,4,450,23.11,20.96,1,,industrial,winter,standard
SHP-00074,2024-03-17,Chicago,Houston,QuickPost,1,1,1152,8.71,78.23,1,,electronics,spring,overnight
SHP-00075,2024-03-19,San_Antonio,New_York,MegaFreight,1,1,996,12.05,124.93,1,,industrial,spring,overnight
SHP-00076,2024-05-18,New_York,Philadelphia,MegaFreight,6,4,877,4.79,23.98,0,weather,electronics,spring,standard
SHP-00077,2024-05-22,New_York,Houston,MegaFreight,1,1,309,27.95,67.64,1,,furniture,spring,overnight
SHP-00078,2024-01-27,Houston,New_York,FastShip,9,4,1393,13.11,30.84,0,weather,perishables,winter,standard
SHP-00079,2024-02-16,Los_Angeles,Houston,MegaFreight,5,6,493,60.11,24.02,1,,furniture,winter,standard
SHP-00080,2024-01-08,Chicago,Dallas,MegaFreight,9,6,1412,11.78,27.75,0,customs,industrial,winter,standard
SHP-00081,2024-02-10,San_Antonio,Dallas,FastShip,2,3,807,31.96,24.11,1,,furniture,winter,standard
SHP-00082,2024-04-23,Los_Angeles,Dallas,LocalEx,2,3,1325,20.15,19.69,1,,industrial,spring,express
SHP-00083,2024-05-04,New_York,Los_Angeles,MegaFreight,2,3,442,7.34,29.37,1,,clothing,spring,express
SHP-00084,2024-03-17,San_Antonio,Dallas,QuickPost,1,1,605,3.63,41.37,1,,clothing,spring,overnight
SHP-00085,2024-04-05,New_York,Chicago,MegaFreight,2,3,712,2.65,17.01,1,,clothing,spring,express
SHP-00086,2024-03-28,Dallas,Phoenix,MegaFreight,2,2,709,35.54,88.03,1,,industrial,spring,express
SHP-00087,2024-02-04,Phoenix,Dallas,QuickPost,3,4,1189,8.0,24.36,1,,electronics,winter,standard
SHP-00088,2024-02-16,Phoenix,New_York,MegaFreight,4,4,1023,23.37,88.14,1,,industrial,winter,standard
SHP-00089,2024-04-03,New_York,Houston,LocalEx,3,3,1198,3.4,23.88,1,,electronics,spring,standard
SHP-00090,2024-04-16,Los_Angeles,New_York,MegaFreight,5,4,1279,20.54,22.63,0,customs,furniture,spring,standard
SHP-00091,2024-06-22,Los_Angeles,New_York,QuickPost,3,3,826,8.96,23.08,1,,perishables,summer,standard
SHP-00092,2024-05-28,Dallas,New_York,MegaFreight,3,4,1115,5.17,34.36,1,,clothing,spring,standard
SHP-00093,2024-03-16,Los_Angeles,Phoenix,MegaFreight,2,2,810,5.49,45.75,1,,electronics,spring,express
SHP-00094,2024-03-12,Chicago,Philadelphia,FastShip,7,7,1227,10.78,23.17,1,,electronics,spring,standard
SHP-00095,2024-05-10,Houston,Chicago,QuickPost,7,7,992,34.18,44.36,1,,furniture,spring,standard
SHP-00096,2024-05-06,New_York,Los_Angeles,FastShip,1,1,1786,82.32,303.02,1,,industrial,spring,overnight
SHP-00097,2024-01-11,Philadelphia,Chicago,MegaFreight,7,7,848,20.65,51.46,1,,perishables,winter,standard
SHP-00098,2024-04-29,Dallas,San_Antonio,QuickPost,2,3,2777,3.96,46.05,1,,clothing,spring,standard
SHP-00099,2024-05-13,Dallas,Chicago,LocalEx,4,5,598,37.3,57.89,1,,industrial,spring,standard
SHP-00100,2024-06-06,New_York,Houston,FastShip,5,5,1462,23.21,50.76,1,,industrial,summer,standard
SHP-00101,2024-04-05,Los_Angeles,Chicago,MegaFreight,5,3,1837,3.7,36.89,0,weather,electronics,spring,standard
SHP-00102,2024-04-25,Philadelphia,Los_Angeles,MegaFreight,6,3,921,19.6,30.13,0,weather,furniture,spring,standard
SHP-00103,2024-05-11,Phoenix,Philadelphia,QuickPost,5,6,905,10.17,46.45,1,,electronics,spring,standard
SHP-00104,2024-03-23,New_York,New_York,FastShip,1,1,1304,73.15,252.4,1,,industrial,spring,overnight
SHP-00105,2024-01-24,Chicago,Dallas,MegaFreight,2,3,655,2.64,15.43,1,,clothing,winter,standard
SHP-00106,2024-03-23,Houston,Philadelphia,LocalEx,8,3,536,3.17,14.49,0,capacity,clothing,spring,express
SHP-00107,2024-03-12,New_York,Houston,FastShip,5,5,1000,35.99,39.47,1,,furniture,spring,standard
SHP-00108,2024-02-10,Los_Angeles,Los_Angeles,FastShip,3,3,1534,11.45,43.78,1,,industrial,winter,express
SHP-00109,2024-01-11,Dallas,New_York,FastShip,1,2,813,3.91,51.79,1,,clothing,winter,express
SHP-00110,2024-05-02,Dallas,Chicago,FastShip,3,3,952,2.88,27.49,1,,clothing,spring,express
SHP-00111,2024-01-30,Philadelphia,Phoenix,MegaFreight,3,3,1233,5.38,41.93,1,,electronics,winter,express
SHP-00112,2024-02-21,New_York,Los_Angeles,LocalEx,7,6,1105,9.4,41.77,0,weather,perishables,winter,standard
SHP-00113,2024-05-03,Chicago,New_York,QuickPost,6,7,620,4.99,14.33,1,,electronics,spring,standard
SHP-00114,2024-03-19,San_Antonio,Chicago,QuickPost,1,2,764,11.52,45.1,1,,clothing,spring,express
SHP-00115,2024-01-20,Phoenix,Los_Angeles,MegaFreight,1,1,992,9.04,59.07,1,,industrial,winter,overnight
SHP-00116,2024-03-26,Chicago,Los_Angeles,QuickPost,3,3,1865,19.59,173.59,1,,furniture,spring,express
SHP-00117,2024-01-14,Chicago,Philadelphia,QuickPost,4,3,1222,10.92,47.7,0,customs,electronics,winter,standard
SHP-00118,2024-04-09,Phoenix,New_York,FastShip,3,3,803,7.42,61.85,1,,clothing,spring,express
SHP-00119,2024-04-07,Los_Angeles,San_Antonio,MegaFreight,3,3,1543,34.62,50.83,1,,perishables,spring,express
SHP-00120,2024-01-15,Philadelphia,Los_Angeles,FastShip,2,3,799,9.84,27.03,1,,furniture,winter,standard
SHP-00121,2024-03-24,Chicago,Philadelphia,FastShip,5,6,495,5.83,40.08,1,,electronics,spring,standard
SHP-00122,2024-05-25,San_Antonio,Philadelphia,FastShip,4,5,757,12.39,22.42,1,,electronics,spring,standard
SHP-00123,2024-04-26,San_Antonio,Los_Angeles,FastShip,7,7,886,93.27,37.24,1,,furniture,spring,standard
SHP-00124,2024-05-12,Dallas,San_Antonio,MegaFreight,4,4,502,10.85,12.76,1,,electronics,spring,standard
SHP-00125,2024-05-30,Houston,Philadelphia,MegaFreight,3,3,568,12.21,29.42,1,,electronics,spring,standard
SHP-00126,2024-04-22,Philadelphia,Phoenix,QuickPost,1,2,540,20.32,44.66,1,,perishables,spring,express
SHP-00127,2024-06-07,New_York,Phoenix,QuickPost,1,1,704,15.11,40.39,1,,industrial,summer,overnight
SHP-00128,2024-06-01,San_Antonio,Los_Angeles,FastShip,3,3,1351,14.83,52.57,1,,electronics,summer,express
SHP-00129,2024-05-11,Houston,Los_Angeles,FastShip,4,5,695,2.28,19.05,1,,clothing,spring,standard
SHP-00130,2024-03-21,Chicago,Los_Angeles,QuickPost,2,3,747,13.16,11.67,1,,electronics,spring,standard
SHP-00131,2024-04-29,New_York,Philadelphia,FastShip,6,7,2177,11.3,76.78,1,,perishables,spring,standard
SHP-00132,2024-02-19,Dallas,New_York,LocalEx,6,7,972,4.74,20.53,1,,clothing,winter,standard
SHP-00133,2024-01-30,New_York,Philadelphia,FastShip,6,7,1661,16.94,34.28,1,,perishables,winter,standard
SHP-00134,2024-04-14,Dallas,Los_Angeles,MegaFreight,7,7,604,2.95,13.69,1,,clothing,spring,standard
SHP-00135,2024-06-10,New_York,Houston,FastShip,4,4,648,1.46,15.17,1,,clothing,summer,standard
SHP-00136,2024-02-21,New_York,Los_Angeles,QuickPost,1,1,674,18.22,97.47,1,,perishables,winter,overnight
SHP-00137,2024-02-23,San_Antonio,New_York,QuickPost,7,3,1163,21.2,44.58,0,weather,clothing,winter,express
SHP-00138,2024-05-11,Philadelphia,Dallas,FastShip,6,6,429,13.35,35.78,1,,industrial,spring,standard
SHP-00139,2024-03-18,Houston,New_York,QuickPost,1,1,1628,19.57,117.54,1,,perishables,spring,overnight
SHP-00140,2024-04-20,Phoenix,Los_Angeles,LocalEx,7,7,1263,21.06,109.39,1,,furniture,spring,standard
SHP-00141,2024-05-29,Chicago,Chicago,FastShip,3,3,848,5.5,18.45,1,,clothing,spring,standard
SHP-00142,2024-03-23,Los_Angeles,New_York,FastShip,5,5,870,11.69,29.7,1,,perishables,spring,standard
SHP-00143,2024-01-30,Phoenix,Los_Angeles,QuickPost,5,4,1234,19.57,32.04,0,capacity,perishables,winter,standard
SHP-00144,2024-01-15,New_York,Phoenix,LocalEx,7,7,1585,11.95,47.54,1,,electronics,winter,standard
SHP-00145,2024-01-21,Chicago,Los_Angeles,FastShip,1,1,1009,6.92,107.68,1,,clothing,winter,overnight
SHP-00146,2024-05-21,Philadelphia,Phoenix,QuickPost,3,4,1569,3.62,16.96,1,,electronics,spring,standard
SHP-00147,2024-02-24,New_York,Chicago,MegaFreight,4,3,1633,18.43,99.82,0,capacity,clothing,winter,express
SHP-00148,2024-01-18,Phoenix,Los_Angeles,MegaFreight,6,4,1066,54.21,105.33,0,mechanical,industrial,winter,standard
SHP-00149,2024-06-06,New_York,Philadelphia,FastShip,6,7,2800,100.25,111.43,1,,furniture,summer,standard
SHP-00150,2024-01-07,Philadelphia,New_York,FastShip,7,6,1037,3.77,36.05,0,customs,electronics,winter,standard
SHP-00151,2024-01-19,New_York,Phoenix,FastShip,4,4,989,5.52,26.6,1,,clothing,winter,standard
SHP-00152,2024-02-04,New_York,Philadelphia,MegaFreight,7,4,999,6.01,21.38,0,mechanical,electronics,winter,standard
SHP-00153,2024-03-04,Los_Angeles,New_York,MegaFreight,2,2,1229,28.65,55.62,1,,perishables,spring,express
SHP-00154,2024-01-27,Chicago,Dallas,FastShip,3,3,1582,7.91,38.56,1,,perishables,winter,express
SHP-00155,2024-02-17,New_York,San_Antonio,FastShip,2,2,1399,94.08,106.35,1,,industrial,winter,express
SHP-00156,2024-02-22,New_York,Los_Angeles,FastShip,1,1,1185,2.51,28.49,1,,clothing,winter,overnight
SHP-00157,2024-04-22,Houston,Los_Angeles,MegaFreight,1,2,962,12.13,80.2,1,,furniture,spring,express
SHP-00158,2024-01-06,Chicago,Dallas,FastShip,5,3,1335,10.3,42.16,0,customs,electronics,winter,standard
SHP-00159,2024-04-29,Los_Angeles,Phoenix,QuickPost,2,3,497,7.45,12.25,1,,electronics,spring,standard
SHP-00160,2024-03-23,Phoenix,Los_Angeles,FastShip,6,7,1342,19.25,85.73,1,,perishables,spring,standard
SHP-00161,2024-05-09,New_York,San_Antonio,MegaFreight,6,6,1310,9.36,25.08,1,,electronics,spring,standard
SHP-00162,2024-05-03,Phoenix,Los_Angeles,MegaFreight,6,6,1616,3.3,22.37,1,,clothing,spring,standard
SHP-00163,2024-03-03,Phoenix,San_Antonio,FastShip,6,7,2094,37.89,53.82,1,,perishables,spring,standard
SHP-00164,2024-05-30,New_York,Dallas,FastShip,3,3,556,32.23,70.21,1,,industrial,spring,express
SHP-00165,2024-06-01,New_York,Philadelphia,LocalEx,3,4,4642,1.14,74.87,1,,electronics,summer,standard
SHP-00166,2024-05-20,Dallas,Philadelphia,MegaFreight,2,3,2333,28.72,66.07,1,,industrial,spring,standard
SHP-00167,2024-01-10,Los_Angeles,Houston,MegaFreight,1,2,1011,40.15,82.24,1,,industrial,winter,express
SHP-00168,2024-05-25,New_York,Dallas,MegaFreight,1,1,1003,37.48,106.16,1,,furniture,spring,overnight
SHP-00169,2024-03-19,San_Antonio,New_York,FastShip,3,4,995,23.22,45.08,1,,industrial,spring,standard
SHP-00170,2024-02-09,New_York,Chicago,FastShip,3,4,3862,31.61,83.84,1,,furniture,winter,standard
SHP-00171,2024-06-28,Houston,Los_Angeles,MegaFreight,5,5,328,13.16,22.95,1,,perishables,summer,standard
SHP-00172,2024-05-07,New_York,Chicago,MegaFreight,1,1,659,18.67,141.15,1,,clothing,spring,overnight
SHP-00173,2024-05-11,Chicago,Houston,FastShip,1,1,1756,9.21,146.27,1,,clothing,spring,overnight
SHP-00174,2024-06-12,Los_Angeles,Houston,LocalEx,3,4,2225,45.89,134.84,1,,perishables,summer,standard
SHP-00175,2024-06-15,Dallas,Los_Angeles,FastShip,4,5,640,12.08,18.52,1,,perishables,summer,standard
SHP-00176,2024-06-13,New_York,San_Antonio,QuickPost,2,3,1048,4.77,11.13,1,,electronics,summer,standard
SHP-00177,2024-06-09,Philadelphia,Los_Angeles,FastShip,2,3,777,20.7,68.16,1,,electronics,summer,express
SHP-00178,2024-04-30,New_York,Phoenix,LocalEx,4,2,2545,9.29,54.07,0,weather,electronics,spring,express
SHP-00179,2024-05-15,New_York,Chicago,MegaFreight,2,3,1344,16.09,49.18,1,,industrial,spring,express
SHP-00180,2024-03-16,San_Antonio,New_York,QuickPost,7,7,860,17.52,40.43,1,,perishables,spring,standard
SHP-00181,2024-02-03,Philadelphia,Dallas,LocalEx,2,3,622,5.05,21.26,1,,electronics,winter,express
SHP-00182,2024-05-23,Los_Angeles,Chicago,FastShip,7,7,1524,13.93,46.24,1,,perishables,spring,standard
SHP-00183,2024-05-31,Chicago,Houston,QuickPost,1,1,966,21.93,86.93,1,,perishables,spring,overnight
SHP-00184,2024-06-18,Phoenix,New_York,MegaFreight,1,1,985,3.69,41.28,1,,clothing,summer,overnight
SHP-00185,2024-03-22,New_York,Los_Angeles,FastShip,1,1,974,11.19,85.48,1,,clothing,spring,overnight
SHP-00186,2024-06-02,Houston,New_York,FastShip,5,5,1545,4.54,32.45,1,,clothing,summer,standard
SHP-00187,2024-04-17,Chicago,San_Antonio,FastShip,5,6,2078,35.21,50.83,1,,furniture,spring,standard
SHP-00188,2024-03-06,Houston,Philadelphia,MegaFreight,3,4,975,6.59,27.15,1,,clothing,spring,standard
SHP-00189,2024-04-10,Philadelphia,Dallas,LocalEx,8,6,1490,11.68,35.68,0,weather,electronics,spring,standard
SHP-00190,2024-02-02,Chicago,Los_Angeles,MegaFreight,4,5,862,41.34,62.39,1,,industrial,winter,standard
SHP-00191,2024-02-11,New_York,Houston,FastShip,2,2,3141,23.8,167.62,1,,furniture,winter,express
SHP-00192,2024-03-29,Phoenix,New_York,LocalEx,3,3,1945,20.22,75.65,1,,industrial,spring,express
SHP-00193,2024-06-19,Houston,Phoenix,MegaFreight,5,6,1649,31.52,62.63,1,,furniture,summer,standard
SHP-00194,2024-02-13,Philadelphia,San_Antonio,QuickPost,1,1,955,43.09,109.21,1,,furniture,winter,overnight
SHP-00195,2024-03-11,Dallas,Phoenix,MegaFreight,6,7,933,33.19,47.78,1,,furniture,spring,standard
SHP-00196,2024-05-09,New_York,Philadelphia,FastShip,6,7,743,7.03,18.49,1,,clothing,spring,standard
SHP-00197,2024-04-04,San_Antonio,Los_Angeles,QuickPost,2,3,1659,11.34,53.83,1,,electronics,spring,standard
SHP-00198,2024-01-04,Houston,Dallas,QuickPost,8,3,1027,47.48,125.23,0,capacity,furniture,winter,express
SHP-00199,2024-02-02,San_Antonio,Los_Angeles,FastShip,1,2,1237,41.02,103.36,1,,industrial,winter,express
SHP-00200,2024-06-02,Chicago,Chicago,FastShip,5,5,535,95.1,45.8,1,,furniture,summer,standard
SHP-00201,2024-04-19,Dallas,Los_Angeles,FastShip,7,7,966,2.96,19.88,1,,clothing,spring,standard
SHP-00202,2024-04-22,Chicago,San_Antonio,LocalEx,4,5,439,4.73,30.78,1,,clothing,spring,standard
SHP-00203,2024-05-31,Los_Angeles,New_York,QuickPost,1,2,636,16.93,41.17,1,,industrial,spring,express
SHP-00204,2024-05-10,Philadelphia,Chicago,QuickPost,2,3,1048,14.79,21.52,1,,industrial,spring,standard
SHP-00205,2024-04-04,Chicago,Los_Angeles,LocalEx,2,2,795,40.97,57.25,1,,industrial,spring,express
SHP-00206,2024-05-07,Dallas,Houston,MegaFreight,6,7,620,10.93,33.73,1,,electronics,spring,standard
SHP-00207,2024-05-16,Phoenix,San_Antonio,MegaFreight,5,6,1340,10.61,20.25,1,,perishables,spring,standard
SHP-00208,2024-01-05,Chicago,Philadelphia,MegaFreight,12,7,447,5.01,14.29,0,customs,electronics,winter,standard
SHP-00209,2024-06-02,Philadelphia,Chicago,MegaFreight,5,5,2364,26.69,65.04,1,,industrial,summer,standard
SHP-00210,2024-02-15,San_Antonio,Los_Angeles,MegaFreight,4,5,868,5.74,33.05,1,,electronics,winter,standard
SHP-00211,2024-02-12,Phoenix,Chicago,FastShip,3,3,865,13.32,34.52,1,,industrial,winter,standard
SHP-00212,2024-06-11,Dallas,Houston,FastShip,1,1,1096,2.3,74.86,1,,clothing,summer,overnight
SHP-00213,2024-01-03,Phoenix,Philadelphia,QuickPost,7,7,395,17.72,39.17,1,,industrial,winter,standard
SHP-00214,2024-05-19,Chicago,San_Antonio,FastShip,4,5,973,81.63,80.62,1,,furniture,spring,standard
SHP-00215,2024-04-28,Dallas,Philadelphia,MegaFreight,3,3,1985,3.82,54.8,1,,clothing,spring,standard
SHP-00216,2024-04-14,Dallas,Los_Angeles,FastShip,3,3,2955,11.79,39.45,1,,electronics,spring,standard
SHP-00217,2024-04-07,Chicago,Philadelphia,MegaFreight,6,6,908,9.7,31.19,1,,electronics,spring,standard
SHP-00218,2024-02-15,Los_Angeles,Houston,FastShip,3,3,681,17.56,25.16,1,,perishables,winter,express
SHP-00219,2024-04-22,New_York,Chicago,MegaFreight,6,3,176,3.06,10.01,0,capacity,electronics,spring,express
SHP-00220,2024-01-02,Chicago,Los_Angeles,LocalEx,3,3,1723,4.17,29.18,1,,electronics,winter,standard
SHP-00221,2024-05-01,Los_Angeles,Dallas,MegaFreight,2,2,1891,42.12,89.27,1,,industrial,spring,express
SHP-00222,2024-04-17,Houston,Dallas,QuickPost,5,6,1248,3.69,32.29,1,,clothing,spring,standard
SHP-00223,2024-02-13,San_Antonio,Dallas,MegaFreight,1,1,1526,29.85,231.44,1,,industrial,winter,overnight
SHP-00224,2024-03-27,Los_Angeles,Philadelphia,QuickPost,9,7,1205,44.28,43.24,0,weather,industrial,spring,standard
SHP-00225,2024-02-16,Phoenix,New_York,MegaFreight,3,3,1093,120.99,110.55,1,,furniture,winter,standard
SHP-00226,2024-03-08,San_Antonio,New_York,LocalEx,5,6,1219,11.01,43.72,1,,clothing,spring,standard
SHP-00227,2024-06-21,Los_Angeles,Chicago,FastShip,2,3,1384,36.92,117.62,1,,perishables,summer,express
SHP-00228,2024-01-02,Houston,Los_Angeles,MegaFreight,5,6,1166,11.28,29.42,1,,perishables,winter,standard
SHP-00229,2024-04-16,New_York,Dallas,FastShip,5,6,1855,2.55,30.97,1,,electronics,spring,standard
SHP-00230,2024-03-20,Chicago,Phoenix,FastShip,2,3,1005,45.99,64.11,1,,industrial,spring,standard
SHP-00231,2024-02-27,New_York,Los_Angeles,LocalEx,1,1,1009,94.17,279.56,1,,furniture,winter,overnight
SHP-00232,2024-05-09,Chicago,Dallas,FastShip,3,3,1361,23.87,31.88,1,,furniture,spring,standard
SHP-00233,2024-05-30,Dallas,Chicago,MegaFreight,6,6,403,2.99,9.33,1,,clothing,spring,standard
SHP-00234,2024-06-20,New_York,Chicago,FastShip,5,6,1036,38.12,37.86,1,,industrial,summer,standard
